23928,BISC 305 - 01,Sem: Evolution,12,0 / 12,Science Center 155,02:15 pm - 04:45 pm,W,Emily Buchholtz,,NPS,More
24320,BISC 306 - 01,Princpls Neural Devlpmnt,12,0 / 12,Science Center 267,09:50 am - 11:00 am,MTh,Barbara Beltz,,"EC, NPS",More
24321,BISC 319 - 01,Evol & Conserv Genetics w/Lab,11,1 / 12,Science Center 155,09:50 am - 11:00 am,TF,Andrea Sequeira,,NPS,More
24322,BISC 319 - L01,LAB: Evol & Conserv Genetics,11,1 / 12,Science Center E301,01:00 pm - 04:30 pm,Th,Andrea Sequeira,,NPS,More
22851,BISC 327 - 01,Sem:Tpc: Conservation Biology,12,0 / 12,Science Center 155,01:30 pm - 04:00 pm,T,Nicholas Rodenhouse,,NPS,More
23930,BISC 331 - 01,Sem: Cancer Genomics,15,0 / 15,Science Center 278,06:30 pm - 09:00 pm,T,Andrew Webb,,NPS,More
23063,BISC 335 - 01,Sem:Cell/Mol Mechnisms Disease,12,0 / 12,Science Center 267,01:30 pm - 04:00 pm,Th,John Goss,,NPS,More
21081,CAMS 101 - 01,Intro Cinema & Media Studies,24,6 / 30,Pendleton Hall West 001  Collins Cinema CIN,11:10 am - 12:20 pm 07:00 pm - 09:30 pm,MTh T,Winifred Wood,,ARS,More
21627,CAMS 135 - 01,Intro to Video Production,0,12 / 12,Pendleton Hall West 309,06:30 pm - 09:00 pm,MTh,Jesse Green,,ARS,More
21060,CAMS 138 - 01,Photography I,13,1 / 14,Jewett Art Center 457,01:30 pm - 04:00 pm,TF,,,ARS,More
22258,CAMS 201 - 01,"A Century of Cinema, Part 1",15,0 / 15,Collins Cinema CIN  Jewett Art Center 450,07:00 pm - 09:30 pm 03:35 pm - 06:05 pm,M W,Maurizio Viano,,ARS,More
24323,CAMS 218 - 01,Theories of Media,7,13 / 20,Jewett Art Center 450  Collins Cinema CIN,01:30 pm - 02:40 pm 07:00 pm - 09:30 pm,TF W,Codruta Morari,,ARS,More
24324,CAMS 229 - 01,European Women�s Filmmaking,5,25 / 30,Collins Cinema CIN  Collins Cinema CIN,09:50 am - 11:00 am 01:30 pm - 04:00 pm,MTh M,Flavia Laviosa,,ARS,More
23938,CAMS 232 - 01,Anthropology of Media,15,0 / 15,Pendleton Hall West 001,09:50 am - 11:00 am,TF,Deborah Matzner,,SBA,More
21071,CAMS 234 - 01,The Art of Screenwriting,15,0 / 15,Founders Hall 121,09:50 am - 12:20 pm,W,Margaret Cezair-Thompson,,"ARS, LL",More
23940,CAMS 239 - 01,Digital Imaging,16,0 / 10,Jewett Art Center 247,01:30 pm - 04:00 pm,TF,David Olsen,,ARS,More
23970,CAMS 266 - 01,The Animated Film,15,0 / 15,Pendleton Hall West 001  Collins Cinema CIN,02:50 pm - 05:20 pm 09:50 am - 12:20 pm,M W,Maurizio Viano,,ARS,More
24460,CAMS 286 - 01,Film & Propaganda in Nazi Germ,25,0 / 25,Collins Cinema CIN,02:50 pm - 05:20 pm,Th,Anjeana Hans,,"ARS, LL",More
24325,CAMS 327 - 01,CSPW: Pub. Writing Film & TV,12,0 / 12,Pendleton Hall East 430,01:30 pm - 04:00 pm,T,Vernon Shetley,,ARS,More
24028,CAMS 338 - 01,Photography III,3,12 / 15,Pendleton Hall West 309,09:50 am - 12:20 pm,TF,,,ARS,More
20617,CHEM 102 - 01,Tpc: Understanding Drugs w/Lab,22,2 / 24,Science Center 278,11:10 am - 12:20 pm,MWTh,Paul Reisberg,,NPS,More
20941,CHEM 102 - L01,LAB: Tpc: Understanding Drugs,10,2 / 12,Science Center 216,01:30 pm - 05:00 pm,M,Paul Reisberg,,NPS,More
20618,CHEM 102 - L02,LAB: Tpc: Understanding Drugs,12,0 / 12,Science Center 216,02:15 pm - 05:45 pm,W,Paul Reisberg,,NPS,More
20635,CHEM 105 - 01,Fundamentals Chemistry w/Lab,13,22 / 35,Science Center 392,08:30 am - 09:40 am,MWTh,Geraldine Echebiri,,"MM, NPS",More
20749,CHEM 105 - 02,Fundamentals Chemistry w/Lab,32,3 / 35,Science Center 380,09:50 am - 11:00 am,MWTh,Carla Verschoor,,"MM, NPS",More
23066,CHEM 105 - L01,LAB: Fundamentals Chemistry,14,0 / 14,Science Center 210,01:30 pm - 05:00 pm,M,Peter Sandusky,,"MM, NPS",More
20637,CHEM 105 - L02,LAB: Fundamentals Chemistry,13,1 / 14,Science Center 210,12:30 pm - 04:00 pm,T,Peter Sandusky,,"MM, NPS",More
20670,CHEM 105 - L03,LAB: Fundamentals Chemistry,12,2 / 14,Science Center 210,02:15 pm - 05:45 pm,W,Peter Sandusky,,"MM, NPS",More
20806,CHEM 105 - L04,LAB: Fundamentals Chemistry,6,8 / 14,Science Center 210,12:30 pm - 04:00 pm,F,Peter Sandusky,,"MM, NPS",More
20638,CHEM 205 - 01,Chemical Analy & Equilib w/Lab,18,10 / 28,Science Center 364,08:30 am - 09:40 am,TWF,Nolan Flynn,,"MM, QRF, NPS",More
20667,CHEM 205 - 02,Chemical Analy & Equilib w/Lab,26,2 / 28,Science Center 392,09:50 am - 11:00 am,MWTh,Rachel Stanley,,"MM, QRF, NPS",More
